district_name,state,flood_risk_level,flood_risk_score,corrected_percent_flooded_area,percent_flooded_area,permanent_water_percent,total_flood_events,total_flood_duration_days,avg_flood_duration_days,max_flood_duration_days,total_human_fatalities,avg_human_fatalities_per_event,max_human_fatalities_single_event,total_human_injured,total_human_displaced,total_animal_fatalities,monsoon_flood_events,heavy_rain_flood_events,recent_flood_events_2010_2023,has_historical_flood_record,has_detailed_rainfall_data,actual_rainfall_sw_monsoon_mm,normal_rainfall_sw_monsoon_mm,sw_monsoon_departure_percent,actual_rainfall_ne_monsoon_mm,normal_rainfall_ne_monsoon_mm,ne_monsoon_departure_percent,actual_rainfall_winter_mm,normal_rainfall_winter_mm,actual_rainfall_hot_weather_mm,normal_rainfall_hot_weather_mm,total_actual_rainfall_mm,total_normal_rainfall_mm,annual_rainfall_departure_percent,monsoon_intensity_ratio
Chandel,Manipur,Moderate,17.4,0.630871175,0.632996,0.002124825,4.0,28.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1,0,,,,,,,,,,,,,,
Chandigarh,Punjab,Moderate,28.64,0.000993771,0.001739235,0.000745464,19.0,43.0,2.263157894736842,14.0,17.0,0.8947368421052632,5.0,13.0,0.0,0.0,19.0,17.0,1.0,1,0,,,,,,,,,,,,,,
Chandrapur,Maharashtra,High,48.11,1.224884143,1.760192182,0.535308039,64.0,291.0,4.546875,31.0,1154.0,18.03125,149.0,134.0,0.0,5980.0,55.0,51.0,25.0,1,0,,,,,,,,,,,,,,
Changlang,Arunachal Pradesh,High,40.95,2.517227647,2.538486995,0.021259348,23.0,107.0,4.6521739130434785,17.0,322.0,14.0,268.0,31.0,2.0,16.0,17.0,17.0,9.0,1,0,,,,,,,,,,,,,,
Charaideo,Assam,Very High,73.85,16.04309188,16.05397104,0.010879162,38.0,697.0,18.342105263157894,93.0,1727.0,45.44736842105263,268.0,49.0,0.0,5220302.0,25.0,15.0,21.0,1,0,,,,,,,,,,,,,,
Charki Dadri,Haryana,Moderate,31.13,0.852566261,0.854921696,0.002355435,11.0,78.0,7.090909090909091,30.0,53.0,4.818181818181818,51.0,8.0,0.0,0.0,10.0,7.0,0.0,1,0,,,,,,,,,,,,,,
Chatra,Jharkhand,Moderate,24.66,0.339585416,0.37639693,0.036811514,8.0,16.0,2.0,4.0,47.0,5.875,15.0,12.0,0.0,22.0,7.0,8.0,5.0,1,0,,,,,,,,,,,,,,
Chengalpattu,Tamil Nadu,High,40.42,2.752509381,4.817890104,2.065380723,13.0,117.0,9.0,23.0,706.0,54.30769230769231,177.0,156.0,0.0,2816.0,13.0,10.0,0.0,1,0,,,,,,,,,,,,,,
Chennai,Tamil Nadu,High,53.21,3.572786193,4.645634657,1.072848464,58.0,486.0,8.379310344827585,186.0,1311.0,22.603448275862068,177.0,203.0,0.0,4536.0,52.0,52.0,20.0,1,1,449.7,439.1,2.41,937.8,789.9,18.72,3.1,36.7,2.9,58.5,1393.5,1324.2,5.23,0.9957
Chhatarpur,Madhya Pradesh,High,36.61,1.026450906,1.27766675,0.251215844,17.0,109.0,6.411764705882353,14.0,232.0,13.647058823529411,90.0,0.0,0.0,45000.0,17.0,11.0,4.0,1,0,,,,,,,,,,,,,,
Chhindwara,Madhya Pradesh,High,39.29,0.243637627,0.626598635,0.382961008,31.0,144.0,4.645161290322581,14.0,339.0,10.935483870967742,90.0,15.0,0.0,2000.0,31.0,19.0,7.0,1,0,,,,,,,,,,,,,,
Chikkaballapura,Karnataka,High,42.29,0.18147016,0.292140809,0.110670649,36.0,238.0,6.611111111111111,31.0,658.0,18.27777777777778,198.0,60.0,3.0,7992.0,31.0,29.0,14.0,1,0,,,,,,,,,,,,,,
Chikkamagaluru,Karnataka,High,39.26,0.48643499,1.355001002,0.868566012,22.0,144.0,6.545454545454546,31.0,646.0,29.363636363636363,198.0,58.0,50.0,9830.0,21.0,15.0,8.0,1,0,,,,,,,,,,,,,,
Chirang,Assam,High,56.44,2.853895807,2.875769392,0.021873585,95.0,891.0,9.378947368421052,93.0,1876.0,19.74736842105263,268.0,49.0,1.0,10664861.0,85.0,68.0,78.0,1,0,,,,,,,,,,,,,,
Chitradurga,Karnataka,High,43.22,0.186919271,0.426895091,0.23997582,34.0,291.0,8.558823529411764,31.0,968.0,28.470588235294116,198.0,49.0,0.0,9159.0,26.0,30.0,15.0,1,0,,,,,,,,,,,,,,
Chitrakoot,Uttar Pradesh,High,50.67,2.462686041,2.917583682,0.454897641,29.0,691.0,23.82758620689655,365.0,3234.0,111.51724137931035,1025.0,25.0,0.0,3952.0,26.0,16.0,6.0,1,0,,,,,,,,,,,,,,
Chittaurgarh,Unknown,Low,0.06,0.033230403,1.068551638,1.101782041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Chittoor,Andhra Pradesh,High,39.56,0.504525197,0.573483172,0.068957975,19.0,159.0,8.368421052631579,31.0,953.0,50.1578947368421,338.0,0.0,0.0,69206.0,17.0,13.0,4.0,1,0,,,,,,,,,,,,,,
Chota Udaipur,Gujarat,High,38.17,0.112482708,0.859683354,0.747200646,14.0,225.0,16.071428571428573,31.0,785.0,56.07142857142857,202.0,11.0,0.0,1113.0,14.0,7.0,6.0,1,0,,,,,,,,,,,,,,
Churachandpur,Manipur,Moderate,17.92,0.939291668,1.167264968,0.2279733,4.0,28.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1,0,,,,,,,,,,,,,,
Churu,Rajasthan,High,42.37,0.775893058,0.776519408,0.00062635,20.0,500.0,25.0,365.0,553.0,27.65,90.0,85.0,0.0,1018.0,19.0,8.0,3.0,1,0,,,,,,,,,,,,,,
Coimbatore,Tamil Nadu,High,42.0,0.316836382,0.519629022,0.20279264,33.0,167.0,5.0606060606060606,16.0,1065.0,32.27272727272727,200.0,234.0,0.0,9093.0,27.0,27.0,14.0,1,1,510.0,189.8,168.7,182.6,328.9,-44.48,12.8,20.3,311.8,150.3,1017.2,689.3,47.57,0.6809
Cooch Behar,West Bengal,High,55.45,7.501454061,7.872524259,0.371070198,33.0,254.0,7.696969696969697,61.0,1187.0,35.96969696969697,336.0,5.0,0.0,50511.0,31.0,16.0,7.0,1,0,,,,,,,,,,,,,,
Cuddalore,Tamil Nadu,High,50.0,5.871797745,6.561569456,0.689771711,30.0,134.0,4.466666666666667,16.0,838.0,27.933333333333334,177.0,188.0,0.0,3143.0,26.0,27.0,11.0,1,1,465.7,383.1,21.56,775.9,697.8,11.19,55.0,44.1,14.4,81.7,1311.0,1206.7,8.64,0.9471
Cuttack,Odisha,Very High,70.05,11.50951078,13.14840204,1.638891263,58.0,949.0,16.362068965517242,365.0,3457.0,59.60344827586207,1025.0,6.0,0.0,86282.0,52.0,19.0,6.0,1,0,,,,,,,,,,,,,,
Dadra and Nagar Haveli,Dadar&Nagar Haveli,Moderate,17.83,2.969167705,3.614704922,0.645537217,2.0,2.0,1.0,1.0,17.0,8.5,15.0,0.0,0.0,0.0,2.0,2.0,1.0,1,0,,,,,,,,,,,,,,
Dakshin Bastar Dantewada,Chhattisgarh,Moderate,16.18,1.67319932,1.73160173,0.05840241,2.0,2.0,1.0,1.0,24.0,12.0,24.0,0.0,0.0,42.0,1.0,2.0,2.0,1,0,,,,,,,,,,,,,,
Dakshin Dinajpur,West Bengal,High,54.59,3.848386134,3.854366613,0.005980479,39.0,914.0,23.435897435897434,365.0,2403.0,61.61538461538461,1025.0,8.0,0.0,1691.0,37.0,12.0,5.0,1,0,,,,,,,,,,,,,,
Dakshina Kannada,Karnataka,High,50.04,1.026488871,1.44861205,0.422123179,75.0,601.0,8.013333333333334,62.0,925.0,12.333333333333334,198.0,148.0,50.0,9316.0,61.0,66.0,34.0,1,0,,,,,,,,,,,,,,
Daman,Unknown,Low,2.62,1.544538442,2.853534384,1.308995942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Damoh,Madhya Pradesh,High,37.7,1.193640384,1.37672163,0.183081246,19.0,112.0,5.894736842105263,17.0,270.0,14.210526315789474,90.0,0.0,0.0,40000.0,17.0,12.0,2.0,1,0,,,,,,,,,,,,,,
Darbhanga,Bihar,Very High,69.64,10.05644787,10.08119281,0.024744941,67.0,1230.0,18.35820895522388,365.0,5282.0,78.83582089552239,1025.0,30.0,0.0,1040.0,63.0,21.0,14.0,1,0,,,,,,,,,,,,,,
Darjiling,West Bengal,High,53.75,1.918361249,2.014600116,0.096238867,71.0,804.0,11.32394366197183,365.0,2509.0,35.33802816901409,1025.0,74.0,0.0,304.0,66.0,44.0,9.0,1,0,,,,,,,,,,,,,,
Darrang,Assam,Very High,75.78,11.80139268,15.62408864,3.822695958,157.0,1458.0,9.286624203821656,93.0,2677.0,17.05095541401274,268.0,61.0,2.0,10369265.0,137.0,80.0,96.0,1,0,,,,,,,,,,,,,,
Datia,Madhya Pradesh,High,35.89,2.165231715,2.46515688,0.299925165,12.0,78.0,6.5,14.0,197.0,16.416666666666668,90.0,0.0,0.0,2035.0,12.0,7.0,1.0,1,0,,,,,,,,,,,,,,
Dausa,Rajasthan,High,39.76,0.498796958,0.503371084,0.004574126,15.0,453.0,30.2,365.0,379.0,25.266666666666666,90.0,39.0,0.0,0.0,14.0,8.0,3.0,1,0,,,,,,,,,,,,,,
Davanagere,Unknown,Low,0.57,0.337248387,0.757147753,0.419899366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Debagarh,Unknown,Low,0.04,0.025728406,2.166747854,2.19247626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Dehradun,Uttarakhand,High,45.3,1.480749996,1.565549733,0.084799737,31.0,177.0,5.709677419354839,52.0,2548.0,82.19354838709677,1313.0,43.0,14.0,5731.0,28.0,22.0,13.0,1,0,,,,,,,,,,,,,,
Deoghar,Jharkhand,Moderate,21.42,0.81176508,0.900022929,0.088257849,4.0,18.0,4.5,14.0,17.0,4.25,15.0,0.0,0.0,0.0,4.0,2.0,1.0,1,0,,,,,,,,,,,,,,
Deoria,Uttar Pradesh,Very High,64.74,7.694821538,7.998150162,0.303328624,56.0,1058.0,18.892857142857142,365.0,6340.0,113.21428571428571,1313.0,47.0,0.0,10667.0,54.0,24.0,13.0,1,0,,,,,,,,,,,,,,
Devbhumi Dwarka,Gujarat,Moderate,23.33,0.024373659,0.632384691,0.65675835,1.0,120.0,120.0,120.0,81.0,81.0,81.0,4.0,0.0,220.0,1.0,1.0,1.0,1,0,,,,,,,,,,,,,,
Dewas,Madhya Pradesh,Moderate,34.8,0.631542867,1.037523564,0.405980697,16.0,83.0,5.1875,14.0,210.0,13.125,90.0,19.0,0.0,2150.0,16.0,11.0,1.0,1,0,,,,,,,,,,,,,,
Dhalai,Tripura,Moderate,34.93,0.336825147,1.167627679,0.830802532,23.0,101.0,4.391304347826087,21.0,87.0,3.782608695652174,34.0,10.0,0.0,0.0,18.0,16.0,6.0,1,0,,,,,,,,,,,,,,
Dhamtari,Chhattisgarh,Moderate,17.51,0.04693727,1.523869436,1.570806706,3.0,4.0,1.3333333333333333,2.0,57.0,19.0,40.0,2.0,0.0,0.0,3.0,3.0,2.0,1,0,,,,,,,,,,,,,,
Dhanbad,Jharkhand,Moderate,16.0,0.207879548,1.331577575,1.123698027,3.0,4.0,1.3333333333333333,2.0,19.0,6.333333333333333,15.0,5.0,0.0,14.0,2.0,3.0,1.0,1,0,,,,,,,,,,,,,,
Dhar,Madhya Pradesh,High,36.85,0.327944556,0.815779757,0.487835201,22.0,112.0,5.090909090909091,14.0,266.0,12.090909090909092,90.0,0.0,0.0,2000.0,20.0,14.0,6.0,1,0,,,,,,,,,,,,,,
Dharmapuri,Tamil Nadu,High,36.31,0.244881502,0.764553583,0.519672081,15.0,94.0,6.266666666666667,16.0,747.0,49.8,177.0,156.0,0.0,4033.0,15.0,12.0,6.0,1,1,402.4,393.4,2.29,254.6,330.1,-22.87,1.4,18.2,162.4,160.4,820.8,902.1,-9.01,0.8004
Dharwad,Karnataka,High,47.17,0.283121417,0.419364228,0.136242811,56.0,408.0,7.285714285714286,31.0,1431.0,25.553571428571427,308.0,140.0,3.0,11637.0,43.0,50.0,21.0,1,0,,,,,,,,,,,,,,
Dhaulpur,Unknown,Low,4.71,2.780566497,3.16604113,0.385474633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Dhemaji,Assam,Very High,73.28,9.385547809,10.8217802,1.436232391,202.0,1728.0,8.554455445544555,93.0,2662.0,13.178217821782178,268.0,216.0,0.0,11017414.0,169.0,103.0,120.0,1,0,,,,,,,,,,,,,,
Dhenkanal,Odisha,High,47.98,0.881789412,1.607306371,0.725516959,28.0,784.0,28.0,365.0,2883.0,102.96428571428571,1025.0,0.0,0.0,56653.0,24.0,6.0,4.0,1,0,,,,,,,,,,,,,,
Dhubri,Assam,Very High,70.26,9.231447974,11.79092943,2.559481456,123.0,1446.0,11.75609756097561,93.0,2634.0,21.414634146341463,268.0,60.0,1.0,10024826.0,109.0,53.0,64.0,1,0,,,,,,,,,,,,,,
Dhule,Maharashtra,High,38.45,0.227687277,0.703409115,0.475721838,25.0,96.0,3.84,14.0,697.0,27.88,149.0,34.0,0.0,2553.0,22.0,21.0,6.0,1,0,,,,,,,,,,,,,,
Dibrugarh,Assam,Very High,76.17,11.91387334,14.95295738,3.039084044,155.0,1596.0,10.296774193548387,93.0,2711.0,17.490322580645163,268.0,240.0,4.0,9849601.0,133.0,80.0,92.0,1,0,,,,,,,,,,,,,,
Dima Hasao,Assam,High,52.26,1.656871704,1.849797408,0.192925704,80.0,614.0,7.675,93.0,1493.0,18.6625,268.0,49.0,0.0,164974.0,58.0,59.0,63.0,1,0,,,,,,,,,,,,,,
Dimapur,Nagaland,Moderate,17.71,1.716497018,1.720970931,0.004473913,3.0,11.0,3.6666666666666665,7.0,2.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1,0,,,,,,,,,,,,,,
Dindigul,Tamil Nadu,High,38.03,0.3793423,0.458409501,0.079067201,19.0,109.0,5.7368421052631575,16.0,784.0,41.26315789473684,177.0,169.0,0.0,4284.0,18.0,15.0,6.0,1,1,410.2,295.4,38.86,325.1,436.4,-25.5,12.6,30.9,218.5,168.0,966.4,930.7,3.84,0.7609
Dindori,Madhya Pradesh,Moderate,34.75,1.243229343,1.451159302,0.207929959,13.0,92.0,7.076923076923077,14.0,159.0,12.23076923076923,90.0,0.0,0.0,2000.0,12.0,7.0,4.0,1,0,,,,,,,,,,,,,,
Diu,Unknown,Low,1.39,0.819836479,5.79981831,4.979981831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Doda,Jammu and Kashmir,High,41.79,0.270530155,0.541398151,0.270867996,33.0,148.0,4.484848484848484,22.0,1194.0,36.18181818181818,350.0,52.0,0.0,11310.0,23.0,16.0,12.0,1,0,,,,,,,,,,,,,,
Dohad,Unknown,Low,0.22,0.129721916,0.331645594,0.201923678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Dumka,Jharkhand,Moderate,23.86,0.227789055,0.826039058,0.598250003,4.0,25.0,6.25,14.0,84.0,21.0,69.0,0.0,0.0,2016.0,4.0,3.0,0.0,1,0,,,,,,,,,,,,,,
Dungarpur,Rajasthan,High,39.0,0.197777034,0.586707161,0.388930127,15.0,449.0,29.933333333333334,365.0,332.0,22.133333333333333,90.0,39.0,0.0,0.0,14.0,9.0,2.0,1,0,,,,,,,,,,,,,,
Durg,Chhattisgarh,Moderate,28.91,0.43075371,1.029480865,0.598727155,13.0,26.0,2.0,4.0,78.0,6.0,25.0,0.0,0.0,1885.0,11.0,13.0,9.0,1,0,,,,,,,,,,,,,,
East,Unknown,High,36.68,0.1,0.1,0.0,19.0,110.0,5.7894736842105265,38.0,456.0,24.0,321.0,56.0,0.0,4258.0,18.0,16.0,1.0,1,0,,,,,,,,,,,,,,
East District,Delhi,High,37.91,0.831166269,0.934153719,0.10298745,19.0,110.0,5.7894736842105265,38.0,456.0,24.0,321.0,56.0,0.0,4258.0,18.0,16.0,1.0,1,0,,,,,,,,,,,,,,
East Garo Hills,Meghalaya,Moderate,29.02,0.686378319,0.691122728,0.004744409,9.0,34.0,3.7777777777777777,9.0,108.0,12.0,45.0,1.0,0.0,0.0,7.0,7.0,1.0,1,0,,,,,,,,,,,,,,
East Godavari,Andhra Pradesh,High,51.46,3.702696517,6.191781457,2.48908494,39.0,350.0,8.974358974358974,62.0,1972.0,50.56410256410256,338.0,10.0,4.0,90716.0,36.0,25.0,13.0,1,0,,,,,,,,,,,,,,
East Jaintia Hills,Meghalaya,Moderate,16.48,1.627446553,1.649728103,0.02228155,3.0,3.0,1.0,1.0,8.0,2.6666666666666665,8.0,12.0,0.0,0.0,3.0,3.0,0.0,1,0,,,,,,,,,,,,,,
East Kameng,Arunachal Pradesh,High,39.27,1.326925325,1.388336152,0.061410827,23.0,115.0,5.0,17.0,350.0,15.217391304347826,268.0,31.0,2.0,16.0,19.0,15.0,6.0,1,0,,,,,,,,,,,,,,
East Khasi Hills,Meghalaya,Moderate,31.75,1.14976811,1.226830999,0.077062889,16.0,37.0,2.3125,10.0,70.0,4.375,30.0,12.0,4.0,20.0,12.0,11.0,8.0,1,0,,,,,,,,,,,,,,
East Nimar,Madhya Pradesh,Moderate,31.45,0.011130804,1.041803014,1.03067221,11.0,73.0,6.636363636363637,14.0,169.0,15.363636363636363,90.0,0.0,0.0,2000.0,10.0,6.0,1.0,1,0,,,,,,,,,,,,,,
East Siang,Arunachal Pradesh,High,41.76,2.560087006,3.916385666,1.35629866,23.0,134.0,5.826086956521739,17.0,350.0,15.217391304347826,268.0,2031.0,2.0,16.0,20.0,14.0,6.0,1,0,,,,,,,,,,,,,,
Ernakulam,Kerala,High,50.36,1.260337983,5.103357738,3.843019755,84.0,432.0,5.142857142857143,34.0,1097.0,13.05952380952381,339.0,451.0,49.0,847209.0,70.0,76.0,42.0,1,0,,,,,,,,,,,,,,
Erode,Tamil Nadu,High,38.04,0.654316232,1.28966656,0.635350328,17.0,100.0,5.882352941176471,16.0,914.0,53.76470588235294,200.0,181.0,0.0,3948.0,17.0,14.0,9.0,1,1,311.1,229.8,35.38,196.4,314.6,-37.57,15.1,16.1,246.8,142.4,769.4,702.9,9.46,0.6596
Etah,Uttar Pradesh,High,50.38,1.184889889,1.185341675,0.000451786,34.0,781.0,22.970588235294116,365.0,5330.0,156.76470588235293,1313.0,5.0,0.0,9650.0,32.0,17.0,6.0,1,0,,,,,,,,,,,,,,
Etawah,Uttar Pradesh,Very High,64.54,8.501345772,8.738456012,0.23711024,47.0,848.0,18.04255319148936,365.0,5688.0,121.02127659574468,1313.0,46.0,0.0,9707.0,45.0,25.0,13.0,1,0,,,,,,,,,,,,,,
Faizabad,Uttar Pradesh,High,58.02,3.807489683,4.054677701,0.247188018,57.0,971.0,17.035087719298247,365.0,6379.0,111.91228070175438,1313.0,25.0,0.0,10645.0,50.0,28.0,19.0,1,0,,,,,,,,,,,,,,
Faridabad,Haryana,High,45.91,6.911149485,6.911149485,0.0,19.0,127.0,6.684210526315789,30.0,91.0,4.7894736842105265,51.0,11.0,0.0,17.0,18.0,12.0,1.0,1,0,,,,,,,,,,,,,,
Faridkot,Punjab,High,47.23,4.441457773,4.441457773,0.0,31.0,168.0,5.419354838709677,26.0,437.0,14.096774193548388,268.0,7.0,0.0,39.0,23.0,23.0,5.0,1,0,,,,,,,,,,,,,,
Farrukhabad,Uttar Pradesh,High,59.67,6.215089637,6.314129092,0.099039455,39.0,816.0,20.923076923076923,365.0,5476.0,140.4102564102564,1313.0,0.0,0.0,10169.0,37.0,21.0,11.0,1,0,,,,,,,,,,,,,,
Fatehabad,Haryana,High,47.39,9.544000142,9.544000142,0.0,15.0,83.0,5.533333333333333,30.0,55.0,3.6666666666666665,51.0,14.0,0.0,1600.0,14.0,10.0,1.0,1,0,,,,,,,,,,,,,,
Fatehgarh Sahib,Punjab,High,40.58,0.476176498,0.476176498,0.0,28.0,148.0,5.285714285714286,26.0,728.0,26.0,320.0,8.0,0.0,6293.0,21.0,20.0,8.0,1,0,,,,,,,,,,,,,,
Fatehpur,Uttar Pradesh,High,59.71,5.696727002,6.194245238,0.497518236,48.0,826.0,17.208333333333332,365.0,5335.0,111.14583333333333,1313.0,20.0,0.0,9661.0,44.0,28.0,18.0,1,0,,,,,,,,,,,,,,
Fazilka,Punjab,High,46.56,4.742047502,4.742047502,0.0,24.0,165.0,6.875,30.0,438.0,18.25,268.0,6.0,0.0,14.0,18.0,17.0,7.0,1,0,,,,,,,,,,,,,,
Firozabad,Uttar Pradesh,High,54.48,4.216316792,4.216316792,0.0,33.0,707.0,21.424242424242426,365.0,3658.0,110.84848484848484,1025.0,62.0,0.0,3972.0,29.0,19.0,11.0,1,0,,,,,,,,,,,,,,
Firozpur,Unknown,Low,13.69,8.086116559,8.113945312,0.027828753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Gadag,Karnataka,High,46.21,0.773623563,0.935237691,0.161614128,40.0,391.0,9.775,31.0,1295.0,32.375,308.0,62.0,0.0,10839.0,29.0,36.0,23.0,1,0,,,,,,,,,,,,,,
Gadchiroli,Maharashtra,High,47.2,1.66295656,1.859313068,0.196356508,58.0,227.0,3.913793103448276,31.0,829.0,14.293103448275861,131.0,85.0,0.0,2838.0,52.0,48.0,29.0,1,0,,,,,,,,,,,,,,
Gajapati,Odisha,High,45.21,0.579527084,0.776854184,0.1973271,23.0,659.0,28.652173913043477,365.0,1653.0,71.8695652173913,1025.0,0.0,0.0,22756.0,20.0,6.0,6.0,1,0,,,,,,,,,,,,,,
Ganderbal,Jammu and Kashmir,High,41.81,1.495531299,1.994547665,0.499016366,23.0,131.0,5.695652173913044,22.0,1103.0,47.95652173913044,350.0,91.0,1.0,13725.0,16.0,11.0,10.0,1,0,,,,,,,,,,,,,,
Gandhinagar,Gujarat,High,44.62,1.279892254,1.280221069,0.000328815,20.0,508.0,25.4,122.0,1246.0,62.3,288.0,40.0,0.0,17876.0,18.0,13.0,9.0,1,0,,,,,,,,,,,,,,
Ganganagar,Rajasthan,High,52.49,6.595012526,6.604699359,0.009686833,24.0,493.0,20.541666666666668,365.0,410.0,17.083333333333332,90.0,3.0,0.0,970.0,22.0,14.0,4.0,1,0,,,,,,,,,,,,,,
Ganjam,Odisha,High,52.37,2.595362139,3.782362954,1.187000815,36.0,815.0,22.63888888888889,365.0,3385.0,94.02777777777777,1025.0,6.0,0.0,52749.0,32.0,8.0,2.0,1,0,,,,,,,,,,,,,,
Garhwa,Jharkhand,Moderate,24.88,0.547516784,0.838209479,0.290692695,7.0,16.0,2.2857142857142856,3.0,60.0,8.571428571428571,17.0,0.0,0.0,1.0,7.0,7.0,4.0,1,0,,,,,,,,,,,,,,
Garhwal,Uttarakhand,High,41.6,0.318442467,1.014386007,0.69594354,24.0,160.0,6.666666666666667,52.0,2081.0,86.70833333333333,1313.0,36.0,5.0,6238.0,24.0,16.0,8.0,1,0,,,,,,,,,,,,,,
Gariaband,Unknown,Low,0.86,0.505735659,0.872452961,0.366717302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Gautam Buddha Nagar,Uttar Pradesh,High,54.75,4.668442714,4.671283575,0.002840861,29.0,724.0,24.96551724137931,365.0,3687.0,127.13793103448276,1025.0,4.0,0.0,6940.0,27.0,14.0,6.0,1,0,,,,,,,,,,,,,,
Gaya,Bihar,High,55.34,3.470539782,3.47076538,0.000225598,42.0,948.0,22.571428571428573,365.0,4288.0,102.0952380952381,1025.0,0.0,0.0,790.0,41.0,13.0,7.0,1,0,,,,,,,,,,,,,,
Ghaziabad,Uttar Pradesh,High,51.65,2.474121961,2.474121961,0.0,32.0,763.0,23.84375,365.0,3777.0,118.03125,1025.0,33.0,0.0,7361.0,30.0,16.0,6.0,1,0,,,,,,,,,,,,,,
Ghazipur,Uttar Pradesh,Very High,63.12,8.379915091,9.244698358,0.864783267,41.0,822.0,20.048780487804876,365.0,4173.0,101.78048780487805,1025.0,19.0,0.0,4039.0,37.0,21.0,10.0,1,0,,,,,,,,,,,,,,
Gir Somnath,Gujarat,High,45.94,0.247012876,0.779801587,0.532788711,33.0,653.0,19.78787878787879,122.0,1395.0,42.27272727272727,288.0,68.0,0.0,26929.0,30.0,24.0,18.0,1,0,,,,,,,,,,,,,,
Giridih,Jharkhand,Moderate,22.86,0.442880209,0.488850861,0.045970652,4.0,18.0,4.5,14.0,61.0,15.25,31.0,0.0,0.0,0.0,4.0,4.0,0.0,1,0,,,,,,,,,,,,,,
Goalpara,Assam,Very High,76.61,12.6070399,15.877175,3.270135105,141.0,1449.0,10.27659574468085,93.0,2630.0,18.652482269503547,268.0,63.0,0.0,10178075.0,115.0,70.0,84.0,1,0,,,,,,,,,,,,,,
Godda,Jharkhand,Moderate,26.29,0.308989819,0.351053647,0.042063828,6.0,29.0,4.833333333333333,14.0,105.0,17.5,69.0,0.0,0.0,2016.0,6.0,5.0,0.0,1,0,,,,,,,,,,,,,,
Golaghat,Assam,Very High,73.71,11.59095462,13.18454925,1.593594635,132.0,1170.0,8.863636363636363,93.0,2184.0,16.545454545454547,268.0,67.0,0.0,10374750.0,112.0,80.0,102.0,1,0,,,,,,,,,,,,,,
Gomati,Tripura,High,37.23,2.517687708,2.520489489,0.002801781,19.0,84.0,4.421052631578948,21.0,83.0,4.368421052631579,34.0,10.0,0.0,0.0,16.0,13.0,3.0,1,0,,,,,,,,,,,,,,
Gonda,Uttar Pradesh,High,57.62,2.868823511,2.9367264,0.067902889,71.0,1063.0,14.971830985915492,365.0,6248.0,88.0,1313.0,26.0,0.0,10339.0,66.0,35.0,22.0,1,0,,,,,,,,,,,,,,
Gondiya,Unknown,Low,0.18,0.10921389,1.020830235,0.911616345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,
Gopalganj,Bihar,Very High,60.0,5.467595215,5.900053501,0.432458286,48.0,1139.0,23.729166666666668,365.0,4804.0,100.08333333333333,1025.0,100.0,0.0,1005.0,46.0,14.0,8.0,1,0,,,,,,,,,,,,,,
Gorakhpur,Uttar Pradesh,Very High,69.78,10.09175003,10.44474452,0.35299449,64.0,1167.0,18.234375,365.0,6836.0,106.8125,1313.0,52.0,0.0,11164.0,61.0,21.0,10.0,1,0,,,,,,,,,,,,,,
Gumla,Jharkhand,Moderate,24.14,0.676989466,0.738034735,0.061045269,5.0,22.0,4.4,14.0,46.0,9.2,31.0,0.0,0.0,0.0,4.0,4.0,2.0,1,0,,,,,,,,,,,,,,
Guna,Madhya Pradesh,High,37.11,0.457411017,0.595168951,0.137757934,19.0,105.0,5.526315789473684,15.0,442.0,23.263157894736842,158.0,6.0,0.0,2700.0,19.0,12.0,3.0,1,0,,,,,,,,,,,,,,
Guntur,Andhra Pradesh,High,59.36,9.242779332,10.2423074,0.999528068,34.0,281.0,8.264705882352942,38.0,1654.0,48.64705882352941,338.0,432.0,0.0,102189.0,31.0,23.0,9.0,1,0,,,,,,,,,,,,,,
